,resource_id,ts,node_hwmon_temp_celsius,node_cpu_seconds_total,node_memory_MemTotal_bytes,node_memory_MemFree_bytes,node_disk_read_bytes_total_x,node_disk_read_bytes_total_y
171,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723759500.0,39.760833333333295,28997.57016666668,1081840218112.0,1031135406967.4667,538406621.8666667,538406621.8666667
172,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723759800.0,41.63666666666663,43415.62333333332,1081840218112.0,1031106656256.0,519270954.6666667,519270954.6666667
173,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723760100.0,39.92499999999996,38473.379,1081840218112.0,1031080751240.5333,340806988.8,340806988.8
174,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723760400.0,39.64416666666663,48160.120833333334,1081840218112.0,1031037910220.8,491715985.06666666,491715985.06666666
175,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723760700.0,40.3058333333333,39094.56649999999,1081840218112.0,1031016507801.6,565187131.7333333,565187131.7333333
176,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723761000.0,40.91249999999995,34261.443166666664,1081840218112.0,1031017493504.0,642431897.6,642431897.6
177,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723761300.0,37.7958333333333,24820.93666666667,1081840218112.0,1031064348057.6,521114862.93333334,521114862.93333334
178,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723761600.0,38.23666666666663,38905.4465,1081840218112.0,1031060561578.6666,515991603.2,515991603.2
179,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723761900.0,39.03416666666663,39218.101500000004,1081840218112.0,1031051999300.2667,545572932.2666667,545572932.2666667
180,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723762200.0,40.293333333333294,48652.034999999996,1081840218112.0,1031002434082.1333,650560059.7333333,650560059.7333333
181,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723762500.0,38.77666666666663,48671.502833333325,1081840218112.0,1031004508160.0,550774263.4666667,550774263.4666667
182,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723762800.0,37.47916666666663,15151.449166666665,1081840218112.0,1031015821653.3334,589146120.5333333,589146120.5333333
183,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723763100.0,40.410833333333294,63323.21483333334,1081840218112.0,1030987258675.2,618530995.2,618530995.2
184,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723763400.0,41.39833333333329,34301.400666666676,1081840218112.0,1030972534784.0,612906419.2,612906419.2
185,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723763700.0,39.90583333333329,29610.908833333324,1081840218112.0,1030931245397.3334,606409326.9333333,606409326.9333333
186,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723764000.0,40.12916666666663,29514.81983333332,1081840218112.0,1030925460206.9333,516344499.2,516344499.2
187,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723764300.0,41.8708333333333,34508.104833333324,1081840218112.0,1030934859980.8,553788279.4666667,553788279.4666667
188,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723764600.0,40.88416666666662,24808.668166666666,1081840218112.0,1030888197870.9333,491416192.0,491416192.0
189,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723764900.0,40.4608333333333,39258.291333333334,1081840218112.0,1030872609041.0667,477061248.0,477061248.0
190,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723765200.0,39.87999999999997,34493.37816666667,1081840218112.0,1030839872512.0,592689826.1333333,592689826.1333333
191,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723765500.0,41.2158333333333,54230.885666666676,1081840218112.0,1030865060727.4667,506860962.1333333,506860962.1333333
192,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723765800.0,42.00583333333329,40184.33883333331,1081840218112.0,1030889094758.4,535972727.46666664,535972727.46666664
193,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723766100.0,39.72916666666663,49337.552166666675,1081840218112.0,1030894286916.2667,646131148.8,646131148.8
194,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723766400.0,39.14583333333329,34380.293666666665,1081840218112.0,1030910605721.6,506394478.93333334,506394478.93333334
195,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723766700.0,41.25083333333329,39715.17066666667,1081840218112.0,1030932056200.5333,629125265.0666667,629125265.0666667
196,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723767000.0,39.22249999999996,40191.32033333334,1081840218112.0,1030866508253.8667,516176290.1333333,516176290.1333333
197,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723767300.0,37.543333333333294,30482.887499999997,1081840218112.0,1030889977036.8,553930333.8666667,553930333.8666667
198,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723767600.0,39.772499999999965,24872.082333333332,1081840218112.0,1030839070310.4,514059886.93333334,514059886.93333334
199,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723767900.0,41.69333333333329,59471.201499999996,1081840218112.0,1030834396569.6,467316650.6666667,467316650.6666667
200,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723768200.0,40.95583333333329,49566.17216666668,1081840218112.0,1030802387694.9333,753802760.5333333,753802760.5333333
201,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723768500.0,38.669999999999966,44939.51550000001,1081840218112.0,1030735796360.5333,637350391.4666667,637350391.4666667
202,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723768800.0,40.434166666666634,15185.88716666667,1081840218112.0,1030706740633.6,611896140.8,611896140.8
203,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723769100.0,41.746666666666634,25579.09116666667,1081840218112.0,1030707129207.4667,473929608.53333336,473929608.53333336
204,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723769400.0,40.419999999999966,45061.34833333334,1081840218112.0,1030749097710.9333,627000379.7333333,627000379.7333333
205,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723769700.0,38.35333333333329,44882.72066666665,1081840218112.0,1030768465578.6666,566411212.8,566411212.8
206,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723770000.0,41.327499999999965,35221.4285,1081840218112.0,1030724509832.5333,525786973.8666667,525786973.8666667
207,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723770300.0,39.02916666666662,15164.121333333338,1081840218112.0,1030763608405.3334,527722240.0,527722240.0
208,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723770600.0,40.13499999999996,15916.631833333337,1081840218112.0,1030696697173.3334,821927808.0,821927808.0
209,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723770900.0,40.13499999999996,55075.93299999999,1081840218112.0,1030667716334.9333,449381265.06666666,449381265.06666666
210,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723771200.0,40.132499999999965,25420.623166666668,1081840218112.0,1030652335581.8667,765693696.0,765693696.0
211,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723771500.0,40.9658333333333,44473.653333333335,1081840218112.0,1030655027882.6666,319393536.0,319393536.0
212,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723771800.0,38.989166666666634,30436.217500000013,1081840218112.0,1030625404518.4,586871304.5333333,586871304.5333333
213,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723772100.0,38.32249999999996,20624.927000000003,1081840218112.0,1030574948420.2667,722249753.6,722249753.6
214,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723772400.0,42.51999999999995,39314.76050000001,1081840218112.0,1030565571174.4,533323340.8,533323340.8
215,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723772700.0,39.52416666666662,34499.270333333334,1081840218112.0,1030560574395.7333,743540804.2666667,743540804.2666667
216,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723773000.0,35.97416666666663,45569.60249999999,1081840218112.0,1030588812356.2667,721308398.9333333,721308398.9333333
217,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723773300.0,38.71749999999996,55299.97266666666,1081840218112.0,1030616873915.7333,747448558.9333333,747448558.9333333
218,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723773600.0,40.631666666666625,55070.045999999995,1081840218112.0,1030559311530.6666,766140441.6,766140441.6
219,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723773900.0,40.64916666666663,30622.102833333334,1081840218112.0,1030577033625.6,675657224.5333333,675657224.5333333
220,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723774200.0,38.062499999999964,50721.88716666667,1081840218112.0,1030563372373.3334,462157166.93333334,462157166.93333334
221,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723774500.0,38.50999999999996,30689.767333333337,1081840218112.0,1030570560785.0667,690354389.3333334,690354389.3333334
222,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723774800.0,40.8658333333333,75142.09083333334,1081840218112.0,1030526711125.3334,475018214.4,475018214.4
223,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723775100.0,39.753333333333295,40404.5195,1081840218112.0,1030538184157.8667,452033655.46666664,452033655.46666664
224,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723775400.0,38.45333333333329,40873.897,1081840218112.0,1030556517649.0667,564577194.6666666,564577194.6666666
225,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723775700.0,40.86749999999996,40791.68583333333,1081840218112.0,1030521950754.1333,520266615.46666664,520266615.46666664
226,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723776000.0,40.591666666666626,25875.97216666667,1081840218112.0,1030512525038.9333,612324036.2666667,612324036.2666667
227,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723776300.0,40.3633333333333,51263.08066666668,1081840218112.0,1030505688610.1333,286835336.53333336,286835336.53333336
228,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723776600.0,40.3108333333333,35861.72083333333,1081840218112.0,1030457424281.6,601166225.0666667,601166225.0666667
229,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723776900.0,39.95999999999996,26007.525500000003,1081840218112.0,1030425025399.4667,687349034.6666666,687349034.6666666
230,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723777200.0,40.6083333333333,40597.44866666666,1081840218112.0,1030411253555.2,540675097.6,540675097.6
231,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723777500.0,39.4083333333333,46134.40833333334,1081840218112.0,1030436967014.4,627446493.8666667,627446493.8666667
232,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723777800.0,39.510833333333295,26013.196833333335,1081840218112.0,1030430919680.0,543138235.7333333,543138235.7333333
233,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723778100.0,41.42249999999997,20730.248833333335,1081840218112.0,1030394632738.1333,481994112.0,481994112.0
234,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723778400.0,41.260833333333295,30829.067166666675,1081840218112.0,1030437869431.4667,406980590.93333334,406980590.93333334
235,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723778700.0,38.77416666666662,41370.880666666664,1081840218112.0,1030373950668.8,576444962.1333333,576444962.1333333
236,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723779000.0,39.22249999999997,56584.252666666645,1081840218112.0,1030349236087.4667,530894651.73333335,530894651.73333335
237,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723779300.0,39.71499999999996,41589.079833333344,1081840218112.0,1030358993100.8,651963025.0666667,651963025.0666667
238,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723779600.0,40.15166666666664,20856.039999999997,1081840218112.0,1030346127633.0667,637633058.1333333,637633058.1333333
239,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723779900.0,37.4983333333333,26115.33483333333,1081840218112.0,1030277020262.4,482895982.93333334,482895982.93333334
240,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723780200.0,40.448333333333295,35882.25899999999,1081840218112.0,1030283345169.0667,472252748.8,472252748.8
241,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723780500.0,41.45833333333329,30580.468999999997,1081840218112.0,1030272238865.0667,435249689.6,435249689.6
242,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723780800.0,39.017499999999956,36390.085166666664,1081840218112.0,1030264367445.3334,464165154.1333333,464165154.1333333
243,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723781100.0,39.095833333333296,41120.28850000001,1081840218112.0,1030189814852.2667,483509521.06666666,483509521.06666666
244,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723781400.0,39.934166666666634,56320.69566666668,1081840218112.0,1030137705949.8667,419590528.0,419590528.0
245,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723781700.0,41.16499999999996,41647.23316666667,1081840218112.0,1030115372919.4667,486937608.53333336,486937608.53333336
